uid,vid,X.U.FEFF.FOLIO,VIV_SEL,HOGAR,N_INF,P3A1_1,P3A1_2,P4_1,P4_2_2,P7_1,ENT,TLOC,EST_DIS,UPM_DIS,FACTOR
70_1_1,70_1,70,1,1,1,2,NA,NA,1,2,1,1,1,70,172
70_3_1,70_3,70,3,1,2,2,NA,NA,2,2,1,1,1,70,172
70_5_1,70_5,70,5,1,3,2,NA,NA,3,2,1,1,1,70,172
71_1_1,71_1,71,1,1,2,2,NA,NA,1,2,1,1,2,71,192
71_2_1,71_2,71,2,1,2,2,NA,NA,2,2,1,1,2,71,192
71_3_1,71_3,71,3,1,1,2,NA,NA,1,2,1,1,2,71,192
71_4_1,71_4,71,4,1,2,2,NA,NA,2,2,1,1,2,71,192
71_5_1,71_5,71,5,1,2,2,NA,2,NA,1,1,1,2,71,192
71_5_2,71_5,71,5,2,1,2,NA,1,1,2,1,1,2,71,192
72_1_1,72_1,72,1,1,1,2,NA,NA,1,2,1,1,1,72,203
72_2_1,72_2,72,2,1,1,1,1,NA,1,1,1,1,1,72,203
72_3_1,72_3,72,3,1,1,2,NA,NA,1,2,1,1,1,72,203
72_4_1,72_4,72,4,1,2,2,NA,NA,2,1,1,1,1,72,203
72_5_1,72_5,72,5,1,1,2,NA,NA,1,2,1,1,1,72,203
73_1_1,73_1,73,1,1,1,2,NA,NA,1,2,1,1,2,73,226
73_2_1,73_2,73,2,1,2,1,1,NA,1,2,1,1,2,73,226
73_3_1,73_3,73,3,1,3,2,NA,NA,3,2,1,1,2,73,226
73_4_1,73_4,73,4,1,1,2,NA,NA,1,2,1,1,2,73,226
73_5_1,73_5,73,5,1,2,2,NA,NA,2,2,1,1,2,73,226
74_2_1,74_2,74,2,1,1,1,1,NA,1,2,1,1,2,74,239
74_3_1,74_3,74,3,1,1,1,1,NA,1,2,1,1,2,74,239
74_5_1,74_5,74,5,1,2,1,1,NA,2,2,1,1,2,74,239
